DocID,ParaID,Entity,Type
2_1,1,香港,Financial Infrastructure
2_1,1,美國,Government
2_1,1,陳茂波,Key People
2_1,1,DHL,Company
2_1,1,Tobias Meyer,Key People
2_1,1,香港特區政府,Government
2_1,1,香港中小型企業聯合會,Company
2_1,1,劉達邦,Key People
4_1,1,Robert Kiyosaki,Key People
4_1,1,Rich Dad Poor Dad,Product
4_1,1,silver,Product
4_1,1,gold,Product
4_1,1,Bitcoin,Product
4_1,1,Kraken,Company
4_1,1,Fred Krueger,Key People
4_1,1,Solana,Product
1_1,1,Donald Trump,Government
1_1,1,Korea National Oil Corp,Company
1_1,1,Petroliam Nasional Bhd,Company
1_1,1,Posco Holdings Inc.,Company
1_1,1,Jollibee Foods Corp.,Company
1_1,1,MTR Corp. Ltd.,Company
1_1,1,Mizuho Securities Asia,Bank
1_1,1,Barclays,Bank
1_1,1,Bloomberg,Financial Infrastructure
1_1,1,Mark Reade,Key People
1_1,1,Avinash Thakur,Key People
